TransactionId,CardId,Date,ValutaDate,Amount,Currency,OriginalAmount,OriginalCurrency,MerchantName,MerchantPlace,MerchantCountry,StateType,Details,Type,Exchange Rate
TRX2025030100001,000000XXXXXXXXXX,2025-03-01 15:12:22,2025-03-03 00:00:00,29.000,CHF,29.000,CHF,Jschalp Gastro AG,Davos Platz,CHE,BOOKED,Jschalp Gastro AG,merchant,1.000000
TRX2025042900002,000000XXXXXXXXXX,2025-04-29 12:51:51,2025-04-30 00:00:00,10.000,CHF,10.000,CHF,Apple,Cork,IRL,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025050500003,000000XXXXXXXXXX,2025-05-05 10:16:57,2025-05-05 00:00:00,12.900,CHF,15.000,USD,Windsurf,,,BOOKED,WINDSURF,merchant,0.848252
TRX2025042600004,000000XXXXXXXXXX,2025-04-26 16:46:26,2025-04-28 00:00:00,58.450,CHF,59.980,EUR,Decathlon,,,BOOKED,DECATHLON BOURGE2134071,merchant,0.957818
TRX2025052800005,000000XXXXXXXXXX,2025-05-28 00:00:00,2025-05-24 00:00:00,-80.000,CHF,-80.000,CHF,,,,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2024121900006,000000XXXXXXXXXX,2024-12-19 23:34:55,2024-11-23 00:00:00,-105.700,CHF,-103.900,CHF,Levis Online Shop,,,BOOKED,Levis Online Shop,merchant,1.000000
TRX2024102900007,000000XXXXXXXXXX,2024-10-29 11:52:08,2024-10-30 00:00:00,10.000,CHF,10.000,CHF,Apple,Cork,IRL,BOOKED,APPLE.COM/BILL,fee,1.000000
TRX2024102700008,000000XXXXXXXXXX,2024-10-27 04:29:31,2024-10-28 00:00:00,3.000,CHF,3.000,CHF,Apple,Cork,IRL,BOOKED,APPLE.COM/BILL,fee,1.000000
TRX2024091600009,000000XXXXXXXXXX,2024-09-16 10:23:58,2024-09-17 00:00:00,111.550,CHF,111.550,CHF,,,,BOOKED,Au Marche Villageois,fee,1.000000
